Quantum of Solace|movie,3.21273005242
Lilo & Stitch|movie,3.21150592953
Caddyshack|movie,3.21063372026
Malcolm X|movie,3.20400268868
The Time Traveler's Wife|movie,3.20352319155
17 Again|movie,3.20035722918
Signs|movie,3.19455333443
Grown Ups|movie,3.19376716474
Outlander|movie,3.19225304175
Cruel Intentions|movie,3.19128037091
The Other Guys|movie,3.18816409849
Big Trouble in Little China|movie,3.18590834179
Willy Wonka and the Chocolate Factory|movie,3.18093453853
21|movie,3.18065813638
Hitch|movie,3.17773051788
9|movie,3.17358208742
Coming to America|movie,3.1722611869
We Were Soldiers|movie,3.17212620681
Coach Carter|movie,3.17151714132
Monsters vs. Aliens|movie,3.17040533206
Bad Santa|movie,3.16951429723
Armageddon|movie,3.16950306529
The Bourne Legacy|movie,3.16689647217
Star Wars: Episode I -- The Phantom Menace|movie,3.16399084707
Elf|movie,3.16231214781
Robin Hood: Prince of Thieves|movie,3.16187469991
Jay and Silent Bob Strike Back|movie,3.16165443918
Project X|movie,3.15965088534
A Knight's Tale|movie,3.15543353217
Wayne's World|movie,3.15425347062
War of the Worlds|movie,3.14957562785
Safe House|movie,3.14843220668
The Lost Boys|movie,3.14800488425
Angels & Demons|movie,3.14778805192
Men of Honor|movie,3.14712497644
Hook|movie,3.14677749113
Dear John|movie,3.14524474178
Pay It Forward|movie,3.14136210882
John Carter|movie,3.14130444555
The Hangover Part II|movie,3.14052208742
Invincible|movie,3.14032319596
Escape From New York|movie,3.1366765723
Lemony Snicket's A Series of Unfortunate Events|movie,3.13659191143
Alice in Wonderland|movie,3.13633563544
Zoolander|movie,3.13185504304
Unstoppable|movie,3.12933812398
The Day After Tomorrow|movie,3.12808128809
The Outlaw Josey Wales|movie,3.12786491956
The Chronicles of Riddick|movie,3.12779217182
Dodgeball: A True Underdog Story|movie,3.12711067989
Transformers: Dark of the Moon|movie,3.12647751702
The Lovely Bones|movie,3.1258945044
Hairspray|movie,3.1225371882
The Da Vinci Code|movie,3.11803538476
Push|movie,3.11605860535
Just Go With It|movie,3.11582920974
Night at the Museum|movie,3.11513495337
Rush Hour 2|movie,3.11147501786
National Lampoon's Vacation|movie,3.10910359485
Machete|movie,3.10825681258
Blackfish|movie,3.1082541415
Shrek Forever After|movie,3.10822889401
Death Race|movie,3.10780560583
John Q|movie,3.10592910548
Sixteen Candles|movie,3.10442085265
Super Troopers|movie,3.10211637287
The Lost World: Jurassic Park|movie,3.09947332483
Clueless|movie,3.09481734081
Sleepless in Seattle|movie,3.0939189798
Friday|movie,3.0927815066
Blade II|movie,3.09244979921
Austin Powers: The Spy Who Shagged Me|movie,3.08881017442
Zack and Miri Make a Porno|movie,3.08807664865
Terminator 3: Rise of the Machines|movie,3.08794687478
Four Brothers|movie,3.08606090101
The Lake House|movie,3.08368178412
Hancock|movie,3.08041933963
Sleepy Hollow|movie,3.07975114685
The Ugly Truth|movie,3.07441597729
In the Line of Fire|movie,3.07391935873
Eagle Eye|movie,3.07285314822
Underworld: Rise of the Lycans|movie,3.072300719
The Ninth Gate|movie,3.07132203012
Gone in Sixty Seconds|movie,3.06996700738
The Guardian|movie,3.06951146328
Madagascar: Escape 2 Africa|movie,3.06737620768
The Mask of Zorro|movie,3.06694178105
Transporter 3|movie,3.06279717506
Ocean's Twelve|movie,3.06254071221
Men in Black II|movie,3.06217971894
Bad Boys II|movie,3.06100946057
Fried Green Tomatoes|movie,3.05972410872
A League of Their Own|movie,3.05315824991
The Mummy Returns|movie,3.05233625456
Me\, Myself & Irene|movie,3.05072001775
Get Smart|movie,3.05016909257
Oz the Great and Powerful|movie,3.04960265316
Salt|movie,3.04924585994
Olympus Has Fallen|movie,3.04782764383
Open Range|movie,3.04616061996
Hitman|movie,3.04405384014
Analyze This|movie,3.04386604962
Click|movie,3.04250986322
The Smurfs|movie,3.03933827047
National Treasure: Book of Secrets|movie,3.0386146628
The Chronicles of Narnia: Prince Caspian|movie,3.03822202412
Freedom Writers|movie,3.0377563364
Maverick|movie,3.03492489158
The Addams Family|movie,3.03251674307
Dark Shadows|movie,3.03046791427
Grandma's Boy|movie,3.03043621014
You've Got Mail|movie,3.03001945038
Hot Tub Time Machine|movie,3.02885612902
Any Given Sunday|movie,3.02571065771
The Polar Express|movie,3.02554908469
WarGames|movie,3.02413114918
Van Helsing|movie,3.0238292704
Julie & Julia|movie,3.02358388531
ParaNorman|movie,3.02271236279
Snow White and the Huntsman|movie,3.01708136082
Mamma Mia!|movie,3.01699910634
The Mechanic|movie,3.01263611426
Swordfish|movie,3.01254617439
Lethal Weapon 4|movie,3.01240652252
Menace II Society|movie,3.00772876704
Meet the Fockers|movie,3.00685133649
Demolition Man|movie,3.00230724334
Spider-Man 3|movie,3.00133413993
Talladega Nights: The Ballad of Ricky Bobby|movie,2.99933695276
Ever After: A Cinderella Story|movie,2.99891299484
Big Daddy|movie,2.99811205718
Tomorrow Never Dies|movie,2.99810360312
Life as We Know It|movie,2.99777298739
Total Recall|movie,2.99607432402
Clue|movie,2.99590432261
Indiana Jones and the Kingdom of the Crystal Skull|movie,2.99191001468
Predators|movie,2.98956651427
The Punisher|movie,2.98777916129
The Recruit|movie,2.98206674264
What Women Want|movie,2.97965518354
How to Lose a Guy in 10 Days|movie,2.97934613065
Matilda|movie,2.97766590032
Ghostbusters II|movie,2.97667596407
The Longest Yard|movie,2.97548305942
Jackass: Number Two|movie,2.97400108622
He's Just Not That Into You|movie,2.96791969516
The World Is Not Enough|movie,2.96784520604
Rudy|movie,2.96618360259
Something's Gotta Give|movie,2.96441053269
Get Him to the Greek|movie,2.96406211842
This Means War|movie,2.96403917572
The Taking of Pelham 123|movie,2.96094161956
Robin Hood: Men in Tights|movie,2.96075130302
Superman Returns|movie,2.9606103166
The Change-Up|movie,2.95814435343
The Whole Nine Yards|movie,2.95769867234
Billy Madison|movie,2.95750563403
Air Force One|movie,2.9573494496
She's the Man|movie,2.9546946965
Seventeen Again|movie,2.95359852738
The Fast and the Furious: Tokyo Drift|movie,2.94810065566
Waiting ...|movie,2.94628211589
The Perfect Storm|movie,2.94336215152
The Family Man|movie,2.94106947564
Killer Elite|movie,2.94080178855
Jumper|movie,2.94075436355
Meet the Robinsons|movie,2.93981360208
Dr. Seuss' the Lorax|movie,2.93912446981
Tommy Boy|movie,2.93774072642
Once Upon a Time in Mexico|movie,2.93663326588
Pearl Harbor|movie,2.93608957118
No Strings Attached|movie,2.93552202728
Daybreakers|movie,2.93477846033
Ace Ventura: When Nature Calls|movie,2.93456005289
Police Academy|movie,2.93413894887
Holes|movie,2.93059139048
Safe Haven|movie,2.93020631579
Underworld: Awakening|movie,2.92786928912
The Rundown|movie,2.92761161305
Idiocracy|movie,2.92718615921
Knight and Day|movie,2.92622534025
Surrogates|movie,2.92609079954
The Transporter 2|movie,2.92498895419
Accepted|movie,2.92334776056
The Man in the Iron Mask|movie,2.92143889414
Scrooged|movie,2.91782060613
Resident Evil: Extinction|movie,2.91768607201
Knowing|movie,2.91601879344
Twister|movie,2.91176304084
Get Shorty|movie,2.91048770725
Hansel & Gretel: Witch Hunters|movie,2.91021309214
Disney's A Christmas Carol|movie,2.90805176523
The SpongeBob SquarePants Movie|movie,2.90766033373
What Happens in Vegas|movie,2.90740944972
Blades of Glory|movie,2.90559736842
Jackass: The Movie|movie,2.90419391745
Major League|movie,2.89993960098
Battleship|movie,2.89733878704
Austin Powers in Goldmember|movie,2.89724319855
Uncle Buck|movie,2.89694052567
Transformers: Revenge of the Fallen|movie,2.89366941937
She's Out of My League|movie,2.88751781581
Shrek the Third|movie,2.88590334171
Clash of the Titans|movie,2.88589571705
Date Night|movie,2.88504455648
Constantine|movie,2.88303428634
Legally Blonde|movie,2.88094442367
Resident Evil: Apocalypse|movie,2.8781437495
Rush Hour 3|movie,2.87455257525
Monster House|movie,2.86552219675
Sex Drive|movie,2.8650204745
Mission: Impossible 2|movie,2.8631443951
Igor|movie,2.86240617683
Space Jam|movie,2.86138434211
Die Another Day|movie,2.86007068913
Ghost Rider|movie,2.85976586818
Jack the Giant Slayer|movie,2.85957834075
Immortals|movie,2.85349696849
The Last Song|movie,2.85337470462
Here Comes the Boom|movie,2.85252243965
We Are Marshall|movie,2.85218839961
Safe|movie,2.84932258718
Faster|movie,2.84782126168
Bee Movie|movie,2.843033752
27 Dresses|movie,2.84300199384
My Best Friend's Wedding|movie,2.84297749641
The Jerk|movie,2.84258936776
Colombiana|movie,2.84175954566
Honey\, I Shrunk the Kids|movie,2.84140560305
Planet of the Apes|movie,2.84099595856
My Girl|movie,2.84090693256
U.S. Marshals|movie,2.83834422847
National Lampoon's Van Wilder|movie,2.83739005827
It's Complicated|movie,2.83673966657
The Chronicles of Narnia: The Voyage of the Dawn Treader|movie,2.83611318265
The Sorcerer's Apprentice|movie,2.83527781596
Robots|movie,2.83114281148
Miss Congeniality|movie,2.83008302249
Hocus Pocus|movie,2.8237086823
The Last House on the Left|movie,2.82307868046
Cars 2|movie,2.82252977634
Beverly Hills Cop II|movie,2.82092792321
Hercules|movie,2.81672662596
Pretty in Pink|movie,2.81302264532
White Men Can't Jump|movie,2.81276645453
Reign of Fire|movie,2.81043341232
Repo Men|movie,2.80466288012
Predator 2|movie,2.80369726121
This Is 40|movie,2.80333148147
Jurassic Park III|movie,2.80199423787
Stripes|movie,2.80120951515
Wall Street: Money Never Sleeps|movie,2.80029029579
Valentine's Day|movie,2.79951260608
Starsky & Hutch|movie,2.79895416992
The Waterboy|movie,2.79058679461
13 Going on 30|movie,2.78863156358
The Princess Diaries|movie,2.78760059217
Weird Science|movie,2.78584987726
Fun With Dick and Jane|movie,2.78083089073
Fun With Dick & Jane|movie,2.78083089073
Star Trek III: The Search for Spock|movie,2.77417897017
Parker|movie,2.77328069284
Resident Evil: Afterlife|movie,2.7728077687
Percy Jackson & the Olympians: The Lightning Thief|movie,2.77237736008
XXX|movie,2.77010152796
S.W.A.T.|movie,2.76801235007
Act of Valor|movie,2.76346644737
Addams Family Values|movie,2.76125954198
Wrath of the Titans|movie,2.75887623577
The Cable Guy|movie,2.75652059652
Think Like a Man|movie,2.75556371549
Battle: Los Angeles|movie,2.75521882719
Footloose|movie,2.75418581874
Open Season|movie,2.75066952221
Freaky Friday|movie,2.75066680808
The Pelican Brief|movie,2.74972587683
30 Minutes or Less|movie,2.74658590631
The Bodyguard|movie,2.74608954847
2 Fast 2 Furious|movie,2.74175834391
Steel Magnolias|movie,2.74065297979
Half Baked|movie,2.73960348002
The Green Hornet|movie,2.7359949641
Shanghai Knights|movie,2.73579542804
Just Friends|movie,2.73445898823
Eraser|movie,2.73445201643
G.I. Joe: The Rise of Cobra|movie,2.73342323448
Kindergarten Cop|movie,2.73200463909
Green Lantern|movie,2.73190825871
Under Siege|movie,2.73157265758
Catfish|movie,2.73054672326
Beavis and Butt-head Do America|movie,2.73015122708
Bad Teacher|movie,2.72961924109
Lara Croft: Tomb Raider|movie,2.7294820449
Blade: Trinity|movie,2.72668077522
Burlesque|movie,2.72659486375
Space Cowboys|movie,2.72291052583
Night at the Museum: Battle of the Smithsonian|movie,2.71991757278
Gremlins 2: The New Batch|movie,2.71295431183
Star Trek: Nemesis|movie,2.71248175262
Sweet Home Alabama|movie,2.70834546615
Star Trek: Insurrection|movie,2.70478970932
Fantastic Four: Rise of the Silver Surfer|movie,2.7024535401
The Switch|movie,2.70163180687
The League of Extraordinary Gentlemen|movie,2.70073747638
Shallow Hal|movie,2.70009683888
Alien vs. Predator|movie,2.69876477817
Blue Streak|movie,2.69825110063
Along Came Polly|movie,2.69135904684
Wild Hogs|movie,2.68802364342
Step Up 2 the Streets|movie,2.6855257423
The Replacements|movie,2.68520986991
Hall Pass|movie,2.68322676352
Along Came a Spider|movie,2.68264365706
Sister Act|movie,2.68013037912
Three Amigos!|movie,2.67816447378
Tyler Perry's Madea's Big Happy Family|movie,2.67652701834
Bedtime Stories|movie,2.67529169925
Radio|movie,2.67377708019
The Amityville Horror|movie,2.67101391984
Mr. Deeds|movie,2.66805585227
